"Nome","Simbolo","% Peso","Rialzo","Prezzo","Var. %","Azioni"
"Amundi Core Stoxx Europe 600 UCITS ETF Acc","MEUD","14,39%","0,00","296,50","-1,90%","22.154"
"Amundi Core MSCI Emerging Markets Swap UCITS ETF Dist","AE5A","13,83%","0,00","63,08","-2,73%","99.572"
"Amundi MSCI Pacific ESG Broad Transition UCITS ETF Dist","CBMPUS","11,82%","0,00","87,59","-1,35%","71.799"
"Amundi Core Nasdaq-100 Swap UCITS ETF Dist","NADQ","10,59%","0,00","265,75","-0,82%","19.130"
"Amundi Bloomberg Equal-weight Commodity ex-Agriculture UCITS ETF Acc","LYTR","10,12%","0,00","37,47","-1,24%","128.635"
"Amundi Core S&P 500 Swap UCITS ETF USD Dist","LSPU","10,02%","0,00","76,43","-0,96%","72.359"
"Amundi Core EUR High Yield Bond UCITS ETF Acc","AEHY","9,41%","0,00","10,27","-0,29%","424.902"
"Amundi MDAX ESG II UCITS ETF","E907","6,05%","0,00","155,48","-1,12%","17.885"
"Amundi Index Solutions - Amundi SDAX UCITS ETF EUR Distributing","C005","6,02%","0,00","142,42","-0,72%","19.396"
"Amundi TecDAX UCITS ETF Dist","E908","3,91%","0,00","27,32","-0,83%","66.493"
