"Nome","Simbolo","% Peso","Prezzo","Var. %","Azioni"
"Amundi Core S&P 500 Swap UCITS ETF USD Dist","LSPU","15,38%","76,43","-0,96%","611.904"
"Amundi Core Stoxx Europe 600 UCITS ETF Acc","MEUD","14,76%","296,50","-1,90%","125.194"
"Amundi Core MSCI Emerging Markets Swap UCITS ETF Dist","AE5A","10,89%","63,08","-2,73%","431.809"
"Amundi Bloomberg Equal-weight Commodity ex-Agriculture UCITS ETF Acc","LYTR","10,35%","37,47","-1,24%","725.200"
"Amundi MSCI Pacific ESG Broad Transition UCITS ETF Dist","CBMPUS","10,08%","87,59","-1,35%","337.315"
"Amundi Index Solutions - Amundi Prime Euro Government Bond UCITS ETF Dist","ETFGOV","9,52%","16,78","-0,71%","1.429.362"
"iShares Pfandbriefe UCITS ETF (DE)","R1JKEX","9,50%","95,85","-0,22%","251.084"
"Amundi Index Solutions - Amundi MDAX ESG UCITS ETF EUR Distributing","C007","5,16%","26,56","-1,41%","490.717"
"Amundi Core DAX UCITS ETF Dist","CBDAX","4,92%","181,04","-0,45%","68.079"
"Amundi US Treasury Bond 1-3Y UCITS ETF Dist","US13","4,73%","87,05","0,28%","140.126"
