"Nome","Simbolo","% Peso","Rialzo","Prezzo","Var. %","Azioni"
"Amundi Core Stoxx Europe 600 UCITS ETF Acc","MEUD","14,39%","0,00","296,95","-1,75%","22.154"
"Amundi Core MSCI Emerging Markets Swap UCITS ETF Dist","AE5A","13,83%","0,00","63,02","-2,81%","99.572"
"Amundi MSCI Pacific ESG Broad Transition UCITS ETF Dist","CBMPUS","11,82%","0,00","87,59","-1,35%","71.799"
"Amundi Core Nasdaq-100 Swap UCITS ETF Dist","NADQ","10,59%","0,00","265,55","-0,90%","19.130"
"Amundi Bloomberg Equal-weight Commodity ex-Agriculture UCITS ETF Acc","LYTR","10,12%","0,00","37,51","-1,12%","128.635"
"Amundi Core S&P 500 Swap UCITS ETF USD Dist","LSPU","10,02%","0,00","76,40","-1,00%","72.359"
"Amundi Core EUR High Yield Bond UCITS ETF Acc","AEHY","9,41%","0,00","10,28","-0,23%","424.902"
"Amundi MDAX ESG II UCITS ETF","E907","6,05%","0,00","154,84","-1,53%","17.885"
"Amundi Index Solutions - Amundi SDAX UCITS ETF EUR Distributing","C005","6,02%","0,00","141,46","-1,39%","19.396"
"Amundi TecDAX UCITS ETF Dist","E908","3,91%","0,00","27,19","-1,31%","66.493"
