"Nome","Simbolo","% Peso","Prezzo","Var. %","Azioni"
"State Street® SPDR® S&P 500® ETF","","29,15%","","-%","118.219"
"State Street® SPDR® Ptf Dev Wld exUS ETF","","10,98%","","-%","662.587"
"State Street® SPDR® Portfolio EM ETF","","9,92%","","-%","586.068"
"State Street® SPDR® Port Aggt Bd ETF","","7,46%","","-%","886.580"
"State Street® SPDR® Bloomberg High Yield Bond ETF","JNK","6,02%","96,15","0,17%","189.494"
"State StreetSPDRBbgEnhRlYldCmdStrNoK1ETF","","5,59%","","-%","506.147"
"State Street SPDR Portfolio L/T Trs ETF","","4,06%","","-%","471.675"
"State Street® SPDR® Blmbg 1-10 YrTIPSETF","","3,94%","","-%","634.245"
"State Street SPDR Port S&P 600 Sm CpETF","","3,20%","","-%","169.684"
"State Street SPDR Port L/T Corp Bd ETF","","3,03%","","-%","411.397"
