"Nome","Simbolo","% Peso","Rialzo","Prezzo","Var. %","Azioni"
"Cambria Foreign Shareholder Yield ETF","","12,15%","0,00","","-%","229.983"
"Cambria Global Value ETF","","11,66%","0,00","","-%","242.214"
"Grizzle Growth ETF","","6,54%","0,00","","-%","84.606"
"Cambria Emerging Shareholder Yield ETF","","6,26%","0,00","","-%","100.225"
"Invesco DB Energy","","6,21%","0,00","","-%","135.882"
"iShares Global Energy ETF","","6,18%","0,00","","-%","79.542"
"iShares Global Utilities ETF","JXI","6,12%","0,00","83,04","-2,60%","50.764"
"Cambria Micro and Smcp Shld Yld ETF","","6,01%","0,00","","-%","144.488"
"Vanguard FTSE All-Wld ex-US SmCp ETF","","5,95%","0,00","","-%","27.302"
"iShares Global Industrials ETF","","5,89%","0,00","","-%","21.956"
