"Nome","Simbolo","% Peso","Rialzo","Prezzo","Var. %","Azioni"
"10 Year Treasury Note Future June 26","","16,87%","0,00","","-%","958"
"Ultra US Treasury Bond Future June 26","","15,74%","0,00","","-%","897"
"Vanguard Total Stock Market Index Fund ETF Shares","VTI","13,92%","0,00","366,79","0,47%","227.821"
"United States Treasury Bills 0%","","11,52%","0,00","","-%","69.254.000"
"SPDR® Gold MiniShares","","10,45%","0,00","","-%","694.364"
"Vanguard FTSE Emerging Markets ETF","","7,85%","0,00","","-%","798.737"
"Vanguard FTSE Developed Markets Index Fund ETF Shares","VEA","5,22%","0,00","70,46","-0,33%","441.307"
"United States Treasury Bonds 1.38%","","3,50%","0,00","","-%","25.670.929"
"United States Treasury Bonds 1%","","3,09%","0,00","","-%","25.341.575"
"United States Treasury Bonds 0.75%","","2,97%","0,00","","-%","23.309.506"
